;;;;;;;;;;;;;;;;;;;;;;
Día;Línea de servicio;Hora de operación;;;;;;;;;;;;;;;;;;;;
;;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00;Total general (Número de pasajeros)
1/01/2021;LÍNEA A;;3.487;3.405;2.011;1.148;974;888;1.011;1.201;1.285;1.571;1.833;2.900;3.269;3.314;2.273;1.329;12;;;31.911
1/01/2021;LÍNEA B;;532;438;267;164;145;135;142;149;165;155;212;321;421;432;215;157;;;;4.050
1/01/2021;LÍNEA K;;;;;40;131;104;156;160;115;131;167;258;189;122;103;38;;;;1.714
1/01/2021;LÍNEA J;;;;;1;77;74;92;112;76;118;146;179;132;135;69;42;3;;;1.256
1/01/2021;LÍNEA 1;;614;590;355;240;217;198;231;212;302;327;394;579;624;574;399;231;17;;;6.104
1/01/2021;LÍNEA 2;;26;47;35;19;16;16;20;16;25;23;36;51;57;70;30;14;;;;501
1/01/2021;LÍNEA T-A;;226;277;160;117;104;127;138;110;191;174;199;274;322;367;293;163;15;;;3.257
1/01/2021;LÍNEA M;;;;;2;31;37;24;22;27;22;48;52;51;66;56;34;3;;;475
1/01/2021;LÍNEA H;;;;;9;8;15;16;17;16;21;22;23;43;39;19;18;;;;266
1/01/2021;LÍNEA O;;38;102;51;32;46;17;24;26;31;30;34;57;86;85;63;26;1;;;749
2/01/2021;LÍNEA A;;8.777;8.111;5.299;3.262;2.751;2.831;3.274;4.321;4.567;5.538;4.968;5.675;5.288;5.531;3.755;2.976;38;;;76.962
2/01/2021;LÍNEA B;;1.377;1.181;837;515;375;394;345;456;512;491;613;726;668;686;456;326;1;;;9.959
2/01/2021;LÍNEA K;;;;;179;257;245;232;318;286;265;298;400;261;267;215;102;2;;;3.327
2/01/2021;LÍNEA J;;;;;7;241;177;199;217;202;163;237;192;158;185;133;50;2;;;2.163
2/01/2021;LÍNEA 1;;1.291;1.569;1.026;661;589;629;655;829;860;991;991;1.041;913;949;697;487;30;;;14.208
2/01/2021;LÍNEA 2;;63;116;87;62;83;84;84;71;100;97;97;118;104;102;49;33;2;;;1.352
2/01/2021;LÍNEA T-A;;454;536;388;279;267;306;413;437;447;444;465;469;520;563;413;317;61;;;6.779
2/01/2021;LÍNEA M;;;;;8;54;42;60;70;88;80;111;85;79;78;91;71;19;;;936
2/01/2021;LÍNEA H;;;;;7;18;32;46;33;30;21;35;25;28;27;17;10;4;;;333
2/01/2021;LÍNEA O;;107;204;135;84;56;84;50;78;66;72;77;148;110;133;82;52;3;;;1.541
3/01/2021;LÍNEA A;1.532;5.787;7.227;6.355;6.377;8.550;9.788;9.709;9.866;10.787;11.429;11.259;12.389;13.048;12.094;10.577;9.334;6.163;427;;162.698
3/01/2021;LÍNEA B;233;857;1.034;920;984;1.458;1.660;1.597;1.546;1.659;1.716;1.646;1.794;1.828;1.679;1.247;1.182;662;60;;23.762
3/01/2021;LÍNEA K;;;;;237;704;783;882;787;869;821;984;1.051;1.003;670;507;436;162;13;;9.909
3/01/2021;LÍNEA J;;;;;7;592;463;499;514;356;435;400;527;492;392;320;237;106;6;;5.346
3/01/2021;LÍNEA L;;;;;54;254;362;546;374;321;353;398;440;333;;;;;;;3.435
3/01/2021;LÍNEA 1;277;965;1.312;1.194;1.165;1.539;1.734;1.696;1.687;1.805;1.834;1.889;1.906;1.994;1.846;1.605;1.481;1.054;118;;27.101
3/01/2021;LÍNEA 2;16;107;107;114;114;137;155;178;199;180;209;177;160;204;226;192;123;92;11;;2.701
3/01/2021;LÍNEA T-A;57;383;470;533;525;777;893;943;1.007;999;1.085;1.111;1.049;1.205;1.212;1.003;998;716;148;;15.114
3/01/2021;LÍNEA M;;;;;62;175;153;198;217;181;207;244;238;244;262;207;212;129;58;;2.787
3/01/2021;LÍNEA H;;;;;3;74;47;74;31;73;39;52;53;59;33;45;24;11;1;;619
3/01/2021;LÍNEA O;6;152;142;158;132;122;178;188;108;129;184;175;218;192;192;196;187;107;13;;2.779
4/01/2021;LÍNEA A;10.937;26.023;32.391;25.695;17.159;15.103;14.434;14.846;16.145;15.754;20.403;21.654;32.221;40.916;32.794;18.052;11.873;9.420;4.458;16;380.294
4/01/2021;LÍNEA B;1.957;4.240;4.797;3.897;2.668;2.413;2.211;2.217;2.355;2.256;2.599;2.815;3.926;5.336;3.868;2.167;1.459;1.153;577;3;52.914
4/01/2021;LÍNEA K;1.425;1.754;1.536;1.202;1.060;856;835;828;910;782;650;629;645;574;454;430;436;180;42;1;15.229
4/01/2021;LÍNEA J;797;1.194;1.214;961;727;573;507;474;546;419;405;390;433;472;325;224;185;78;18;1;9.943
4/01/2021;LÍNEA 1;1.994;4.561;5.524;4.895;3.442;3.033;2.837;2.803;2.752;2.738;3.402;3.522;4.588;6.001;4.723;2.842;1.875;1.494;727;24;63.777
4/01/2021;LÍNEA 2;77;373;419;413;363;395;378;535;456;458;645;691;995;1.031;895;639;284;192;85;2;9.326
4/01/2021;LÍNEA T-A;784;1.831;2.277;1.046;463;1.202;1.284;1.209;1.345;1.265;1.625;1.769;2.302;2.722;2.896;1.674;1.132;908;633;28;28.395
4/01/2021;LÍNEA M;216;435;467;240;62;197;188;178;236;238;220;319;376;570;673;400;211;209;147;18;5.600
4/01/2021;LÍNEA H;130;265;211;101;38;86;86;81;74;56;48;55;41;31;27;27;26;12;1;;1.396
4/01/2021;LÍNEA O;137;396;637;467;317;271;223;236;202;236;276;279;480;635;479;292;197;271;86;2;6.119
5/01/2021;LÍNEA A;11.386;26.504;33.474;25.967;17.895;15.325;14.506;14.446;15.835;15.709;20.463;21.588;33.653;42.890;34.586;18.676;11.762;9.923;4.486;9;389.083
5/01/2021;LÍNEA B;1.333;4.300;4.902;3.979;2.770;2.511;2.327;2.296;2.281;2.256;2.599;2.787;4.061;5.517;4.033;2.180;1.575;1.181;578;3;53.469
5/01/2021;LÍNEA K;1.396;1.923;1.704;1.363;1.032;941;851;789;890;731;741;767;813;836;509;381;431;197;37;1;16.333
5/01/2021;LÍNEA J;505;1.356;1.256;986;691;598;501;490;482;429;407;394;469;505;358;244;213;92;12;;9.988
5/01/2021;LÍNEA L;;;;;22;190;222;296;260;201;290;226;325;266;;;;;;;2.298
5/01/2021;LÍNEA 1;1.955;4.658;5.814;5.073;3.682;3.178;2.702;2.632;2.750;2.776;3.323;3.602;4.759;6.296;4.968;2.990;1.955;1.617;789;26;65.545
5/01/2021;LÍNEA 2;86;361;497;440;345;395;385;511;426;472;592;661;951;1.059;925;559;309;208;90;3;9.275
5/01/2021;LÍNEA T-A;754;1.975;2.411;1.922;1.397;1.237;1.165;1.275;1.341;1.361;1.520;1.880;2.344;3.130;2.932;1.878;1.195;971;573;22;31.283
5/01/2021;LÍNEA M;206;492;497;334;221;185;211;198;198;188;216;329;407;622;734;483;271;174;137;21;6.124
5/01/2021;LÍNEA H;132;304;204;128;103;72;74;92;74;52;44;38;35;42;18;15;21;6;4;1;1.459
5/01/2021;LÍNEA O;128;451;660;551;325;265;239;220;270;210;285;297;506;684;495;319;192;272;88;2;6.459
6/01/2021;LÍNEA A;10.986;26.514;33.518;26.086;17.349;14.961;13.972;13.622;15.185;15.216;19.410;20.696;33.214;37.938;36.360;20.311;13.372;9.669;2.944;10;381.333
