Día;Línea de Servicio;Hora de operación;;;;;;;;;;;;;;;;;;;;
;;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00;Total general (Número de pasajeros)
1/01/2022;LÍNEA 1;165;811;854;662;589;731;836;1.091;1.117;1.280;1.456;1.479;1.616;1.696;1.911;1.611;1.319;923;132;;20.279
1/01/2022;LÍNEA 2;14;90;100;81;68;95;93;90;129;141;183;168;212;213;222;169;118;71;8;;2.265
1/01/2022;LÍNEA A;1.098;4.363;5.114;3.988;3.385;4.033;4.890;6.163;7.511;8.318;8.556;9.089;10.642;11.322;12.716;10.610;8.085;6.333;476;;126.692
1/01/2022;LÍNEA B;195;674;767;555;565;667;921;1.246;1.409;1.451;1.581;1.599;2.121;2.114;2.204;1.526;1.028;620;58;;21.301
1/01/2022;LÍNEA H;;;;;;39;25;45;55;54;74;44;37;71;80;61;42;14;;;641
1/01/2022;LÍNEA J;;;;;41;284;382;371;473;381;483;522;669;608;672;394;293;141;7;;5.721
1/01/2022;LÍNEA K;;;;;197;493;547;641;677;816;870;975;1.229;1.369;1.077;887;467;342;24;;10.611
1/01/2022;LÍNEA L;;;;;15;32;94;173;466;389;458;482;498;311;;;;;;;2.918
1/01/2022;LÍNEA M;;;;;;121;99;116;168;161;235;240;270;221;289;250;173;138;24;;2.505
1/01/2022;LÍNEA O;5;110;138;95;74;100;86;103;121;116;105;144;161;225;129;122;114;70;10;;2.028
1/01/2022;LÍNEA P;;;;;17;176;169;266;350;326;349;457;521;535;641;489;234;149;7;;4.686
1/01/2022;LÍNEA T-A;57;329;360;332;278;387;477;673;688;782;932;1.017;1.110;1.090;1.252;1.068;774;650;116;;12.372
2/01/2022;LÍNEA 1;307;1.038;1.120;1.096;1.111;1.472;1.820;1.824;1.894;2.077;2.114;2.220;2.210;2.494;2.478;1.967;2.092;1.601;278;;31.213
2/01/2022;LÍNEA 2;11;114;145;137;121;162;271;268;347;332;304;285;311;325;406;318;264;167;19;;4.307
2/01/2022;LÍNEA A;1.890;6.073;6.765;6.210;6.224;7.623;10.107;10.894;12.073;13.363;14.163;14.751;15.439;16.535;16.547;15.140;14.714;12.434;1.064;;202.009
2/01/2022;LÍNEA B;398;924;1.032;979;1.088;1.497;1.891;1.932;2.212;2.219;2.668;2.763;3.009;2.936;2.876;2.380;1.539;1.076;120;;33.539
2/01/2022;LÍNEA H;;;;;;61;58;84;60;52;49;44;83;87;72;67;40;11;3;;771
2/01/2022;LÍNEA J;;;;;25;505;528;547;624;655;660;614;749;568;631;514;365;132;3;;7.120
2/01/2022;LÍNEA K;;;;;305;705;882;969;1.068;1.039;1.222;1.308;1.688;1.533;1.113;907;676;305;17;;13.737
2/01/2022;LÍNEA L;;;;;69;270;430;699;686;691;790;719;732;408;5;;;;;;5.499
2/01/2022;LÍNEA M;;;;;;145;197;259;233;267;274;376;335;368;320;277;344;235;84;;3.714
2/01/2022;LÍNEA O;12;194;195;146;122;188;223;189;223;189;261;244;325;284;280;265;273;243;36;;3.892
2/01/2022;LÍNEA P;;;;;2;366;371;408;521;516;547;526;616;509;562;558;348;154;11;;6.015
2/01/2022;LÍNEA T-A;95;359;524;483;502;647;991;1.171;1.172;1.320;1.140;1.216;1.549;1.504;1.552;1.272;1.363;1.042;224;;18.126
3/01/2022;LÍNEA 1;1.932;4.935;6.675;6.071;4.082;3.766;3.443;3.565;3.640;3.372;4.273;4.451;5.743;7.127;5.458;3.424;2.522;1.986;1.075;39;77.579
3/01/2022;LÍNEA 2;104;437;585;632;580;658;669;818;827;741;975;1.009;1.425;1.596;1.256;829;501;338;118;4;14.102
3/01/2022;LÍNEA A;11.205;26.477;36.115;29.144;19.349;18.310;18.062;18.808;20.951;20.368;26.655;27.443;39.225;50.695;37.714;23.251;16.368;13.182;7.231;34;460.587
3/01/2022;LÍNEA B;2.000;4.220;5.446;4.522;3.326;3.104;2.974;3.185;3.187;3.270;3.610;4.077;5.003;6.673;5.099;3.058;1.896;1.374;771;6;66.801
3/01/2022;LÍNEA H;104;263;269;174;138;115;100;87;92;72;68;87;67;79;35;42;39;16;4;;1.851
3/01/2022;LÍNEA J;782;1.463;1.523;1.337;863;715;714;719;674;582;606;544;607;589;508;308;291;135;35;3;12.998
3/01/2022;LÍNEA K;1.721;2.410;2.136;1.797;1.360;1.095;1.107;1.145;1.186;1.010;981;933;1.101;1.031;792;552;564;281;76;2;21.280
