Día;Línea de Servicio;Hora de operación;;;;;;;;;;;;;;;;;;;;
;;4:00:00 a/ m/;5:00:00 a/ m/;6:00:00 a/ m/;7:00:00 a/ m/;8:00:00 a/ m/;9:00:00 a/ m/;10:00:00 a/ m/;11:00:00 a/ m/;12:00:00 p/ m/;1:00:00 p/ m/;2:00:00 p/ m/;3:00:00 p/ m/;4:00:00 p/ m/;5:00:00 p/ m/;6:00:00 p/ m/;7:00:00 p/ m/;8:00:00 p/ m/;9:00:00 p/ m/;10:00:00 p/ m/;11:00:00 p/ m/;Total general (Número de pasajeros)
1/01/2024;LÍNEA 1;180;858;886;721;659;820;952;1.083;1.189;1.412;1.418;1.563;1.734;2.108;2.352;1.903;1.676;1.132;139;;22.785
1/01/2024;LÍNEA 2;1;149;143;74;100;135;116;225;195;163;198;188;277;291;284;212;152;100;9;;3.012
1/01/2024;LÍNEA A;1.460,00;5.488,00;5.769,00;4.752,00;3.993;4.512;5.551;7.197;8.530;9.507;10.362;10.666;12.998;15.376;16.932;14.537;11.750;7.729;664;;157.773
1/01/2024;LÍNEA B;231,00;718,00;826,00;672,00;641;818;1.060;1.398;1.482;1.827;1.741;1.956;2.228;2.587;2.749;2.043;1.302;893;85;;25.257
1/01/2024;LÍNEA H;;;;;;50;62;71;60;71;76;72;93;83;113,00;80,00;39,00;25,00;4,00;;899
1/01/2024;LÍNEA J;;;;;39;368;401;381;462;515;520;551;619;726;906;542;356;140;3;;6.529
1/01/2024;LÍNEA K;;;;;239;495;582;626;788;780;910;1.087;1.329;1.453;1.511;990;607;307;11;;11.715
1/01/2024;LÍNEA L;;;;;24;47;190;308;386;548;572;509;447;423;;;;;;;3.454
1/01/2024;LÍNEA M;;;;;4,00;144;109;180;190;229;246;244;279;370;375;342;257;162;54;;3.185
1/01/2024;LÍNEA O;13,00;170,00;155,00;111,00;107,00;113;137;148;114;185;198;177;275;337;335;297;171;91;19,00;;3.153
1/01/2024;LÍNEA P;;;;;30;256;295;318;396;455;446;592;652;691;954;624;432;201;11;;6.353
1/01/2024;LÍNEA T-A;103,00;474,00;410,00;377,00;386;481;522;786;895;1.039;972;1.125;1.327;1.522;1.709;1.331;1.118;705;114;;15.396
2/01/2024;LÍNEA 1;1.683;4.081;5.902;5.341;3.676;3.441;3.166;3.264;3.346;3.298;3.733;4.112;5.267;6.391;5.127;3.282;2.438;2.121;1.389;80,00;71.138
2/01/2024;LÍNEA 2;97;435;647;653;635;683;754;807;844;799;1.036;1.014;1.427;1.558;1.271;833;541;320;144;2,00;14.500
2/01/2024;LÍNEA A;10.188,00;23.172,00;32.741,00;28.688,00;19.035;18.187;18.071;18.843;19.892;20.569;25.795;27.907;39.197;50.130;37.616;24.275;17.939;14.782;9.328;100,00;456.455
2/01/2024;LÍNEA B;1.757,00;3.609,00;4.742,00;4.197,00;2.916;2.775;3.214;2.924;3.290;3.315;3.640;4.152;4.954;6.697;5.002;3.227;2.277;1.574;925;8,00;65.195
2/01/2024;LÍNEA H;119,00;248,00;223,00;167,00;108;99;91;82;73;64;76;56;75;62;61;53,00;38,00;9,00;3,00;;1.707
2/01/2024;LÍNEA J;716;1.176;1.353;1.124;845;753;708;658;732;619;533;554;594;592;569;445;336;123;44;1,00;12.475
2/01/2024;LÍNEA K;1.437;1.797;1.734;1.535;1.180;1.069;1.101;1.028;1.289;1.122;1.025;1.149;1.282;1.197;1.060;745;657;278;84;1,00;20.770
2/01/2024;LÍNEA L;;;;;;171;320;479;503;501;392;442;507;539;;;;;;;3.854
2/01/2024;LÍNEA M;203,00;424,00;478,00;375,00;275,00;242;254;235;160;264;314;417;496;598;783;527;389;269;248;45,00;6.996
2/01/2024;LÍNEA O;183,00;586,00;800,00;694,00;440,00;368;367;337;388;375;432;455;660;773;622;452;368;367;156;15,00;8.838
2/01/2024;LÍNEA P;773;1.493;1.626;1.299;777;622;598;663;736;578;604;617;662;698;690;568;413;203;97;1,00;13.718
2/01/2024;LÍNEA T-A;783,00;1.715,00;2.382,00;2.127,00;1.544;1.408;1.555;1.177;836;1.634;1.965;2.189;2.637;3.477;2.979;2.064;1.551;1.175;885;43,00;34.126
3/01/2024;LÍNEA 1;1.923;4.847;6.821;6.228;4.336;3.979;3.640;3.609;3.632;3.620;4.172;4.375;5.634;7.326;5.574;3.743;2.721;2.270;1.414;46;79.910
3/01/2024;LÍNEA 2;112;531;722;767;702;803;803;905;906;887;1.044;1.251;1.568;1.668;1.333;995;640;386;156;7;16.186
3/01/2024;LÍNEA A;11.530;26.789;39.065;34.047;22.456;21.143;20.683;20.937;22.068;22.309;27.528;29.130;43.196;57.211;42.420;26.257;18.866;15.236;9.213;79;510.163
